Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,28638.97,28872.8,28627.77,28868.8,73668133
2020-01-03,28553.33,28716.31,28500.36,28634.88,75068172
2020-01-06,28465.5,28708.02,28418.63,28703.38,79138409
2020-01-07,28639.18,28685.5,28565.28,28583.68,71315716
2020-01-08,28556.14,28866.18,28522.51,28745.09,80874288
2020-01-09,28851.97,28988.01,28844.31,28956.9,76713631
2020-01-10,28977.52,29009.07,28789.1,28823.77,65161444
2020-01-13,28869.01,28909.91,28819.43,28907.05,72234282
2020-01-14,28895.5,29054.16,28872.27,28939.67,84258567
2020-01-15,28901.8,29127.59,28897.35,29030.22,78350616
2020-01-16,29131.95,29300.32,29131.95,29297.64,74494972
2020-01-17,29313.31,29373.62,29289.91,29348.1,119226506
2020-01-21,29269.05,29341.21,29146.47,29196.04,100433330
2020-01-22,29263.63,29320.2,29172.26,29186.27,78523146
2020-01-23,29111.02,29190.47,28966.98,29160.09,84967865
2020-01-24,29230.39,29288.79,28843.31,28989.73,97900285
2020-01-27,28542.49,28671.79,28440.47,28535.8,99290901
2020-01-28,28594.28,28823.23,28575.75,28722.85,86666750
2020-01-29,28820.53,28944.24,28728.19,28734.45,80738981
2020-01-30,28640.16,28879.71,28489.76,28859.44,84876065
2020-01-31,28813.04,28813.04,28169.53,28256.03,118882160
2020-02-03,28319.65,28630.39,28319.65,28399.81,87684545
2020-02-04,28696.74,28904.88,28696.74,28807.63,89591754
2020-02-05,29048.73,29308.89,29000.85,29290.85,94516058
2020-02-06,29388.58,29408.05,29246.93,29379.77,79384861
2020-02-07,29286.92,29286.92,29056.98,29102.51,67829314
2020-02-10,28995.66,29278.07,28995.66,29276.82,74822293
2020-02-11,29390.71,29415.39,29210.47,29276.34,69395674
2020-02-12,29406.75,29568.57,29406.75,29551.42,87209078
2020-02-13,29436.03,29535.4,29345.93,29423.31,80123721
2020-02-14,29440.47,29463.04,29283.18,29398.08,71011600
2020-02-18,29282.78,29330.16,29116.81,29232.19,73252418
2020-02-19,29312.7,29409.09,29274.38,29348.03,72143139
2020-02-20,29296.25,29368.45,28959.65,29219.98,80143136
2020-02-21,29146.53,29146.53,28892.7,28992.41,105200911
2020-02-24,28402.93,28402.93,27912.44,27960.8,140956562
2020-02-25,28037.65,28149.2,26997.62,27081.36,150110494
2020-02-26,27159.46,27542.78,26890.97,26957.59,130871696
2020-02-27,26526,26775.31,25752.82,25766.64,201886841
2020-02-28,25270.83,25494.24,24681.01,25409.36,293830966
2020-03-02,25590.51,26706.17,25391.96,26703.32,195898973
2020-03-03,26762.47,27084.59,25706.28,25917.41,201942294
2020-03-04,26383.68,27102.34,26286.31,27090.86,140255119
2020-03-05,26671.92,26671.92,25943.33,26121.28,150999531
2020-03-06,25457.21,25994.38,25226.62,25864.78,181319460
2020-03-09,24992.36,24992.36,23706.07,23851.02,227509115
2020-03-10,24453,25020.99,23690.34,25018.16,190770238
2020-03-11,24604.63,24604.63,23328.32,23553.22,190838370
2020-03-12,22184.71,22837.95,21154.46,21200.62,258422337
2020-03-13,21973.82,23189.76,21285.37,23185.62,244778688
2020-03-16,20917.53,21768.28,20116.46,20188.52,251927541
2020-03-17,20487.05,21379.35,19882.26,21237.38,235350881
2020-03-18,20188.69,20489.33,18917.46,19898.92,234315836
2020-03-19,19830.01,20442.63,19177.13,20087.19,211945222
2020-03-20,20253.15,20531.26,19094.27,19173.98,319830036
2020-03-23,19028.36,19121.01,18213.65,18591.93,202652053
2020-03-24,19722.19,20737.7,19649.25,20704.91,218243506
2020-03-25,21050.34,22019.93,20538.34,21200.55,212413185
2020-03-26,21468.38,22595.06,21427.1,22552.17,198431471
2020-03-27,21898.47,22327.57,21469.27,21636.78,165413051
2020-03-30,21678.22,22378.09,21522.08,22327.48,140767780
2020-03-31,22208.42,22480.37,21852.08,21917.16,174810542
