Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,8802.22,8873.63,8786.9,8872.22,152728222
2020-01-03,8755.17,8843.65,8755.17,8793.9,144783326
2020-01-06,8713.89,8849.98,8713.89,8848.52,142441081
2020-01-07,8857.14,8872.47,8821.68,8846.45,152170042
2020-01-08,8845.45,8953.55,8834.94,8912.37,164623933
2020-01-09,8990.04,9004.56,8938.53,8989.63,150822357
2020-01-10,9021.88,9024.87,8951.83,8966.64,134223752
2020-01-13,9007.94,9071.53,8991.36,9070.65,140490532
2020-01-14,9068.02,9080.16,9020.92,9033.42,155061415
2020-01-15,9039.31,9078.87,9008.95,9035.67,136777751
2020-01-16,9088.09,9126.07,9066.31,9125,143240218
2020-01-17,9159.48,9176.47,9118.98,9173.73,200535553
2020-01-21,9145.64,9187.42,9141.79,9166.63,187439473
2020-01-22,9212.352,9242.48,9179.266,9188.575,158792441
2020-01-23,9186.137,9221.125,9145.234,9216.984,166987527
2020-01-24,9266.35,9272.38,9101.44,9141.47,188041696
2020-01-27,8913.16,9001.44,8910.97,8952.18,193088609
2020-01-28,9013.23,9111.32,8994.29,9090.93,154989599
2020-01-29,9141.52,9153.078,9067.289,9101.613,174173253
2020-01-30,9038.922,9140.695,9019.719,9136.087,185502834
2020-01-31,9169.91,9170.215,8961.59,8991.512,217351241
2020-02-03,9033.52,9148.5,9031.07,9126.23,183203689
2020-02-04,9256.938,9352.965,9224.859,9334.056,199926912
2020-02-05,9441.344,9442.754,9311.883,9367.481,193708348
2020-02-06,9395.688,9448.723,9357.863,9445.916,165988081
2020-02-07,9397.77,9453.24,9376.91,9401.1,153851443
2020-02-10,9373.2,9517.74,9373.2,9516.84,154455738
2020-02-11,9567.82,9600.05,9493.63,9517.86,152326650
2020-02-12,9569.82,9615.91,9552.03,9613.2,166476105
2020-02-13,9540.67,9636.41,9532.74,9595.7,162537444
2020-02-14,9613.883,9634.75,9583.082,9623.58,145606319
2020-02-18,9567.28,9647.72,9567.28,9629.8,152779388
2020-02-19,9683.938,9736.574,9676.07,9718.727,148412090
2020-02-20,9696.66,9714.23,9513.23,9627.83,159730175
2020-02-21,9582.543,9594,9406.379,9446.688,201794442
2020-02-24,9055.3,9194.91,9028.88,9079.63,270768633
2020-02-25,9167.328,9183.781,8807.105,8834.865,279926537
2020-02-26,8883.012,9032.875,8813.926,8873.757,251141885
2020-02-27,8632.543,8786.684,8430.535,8436.666,358702632
2020-02-28,8133.848,8490.468,8133.848,8461.835,468056299
2020-03-02,8569.906,8879.391,8446.496,8877.978,350826064
2020-03-03,8892.679,9000.457,8516.584,8594.491,353373429
2020-03-04,8745.637,8952.109,8669.762,8949.28,256368204
2020-03-05,8713.191,8864.191,8613.906,8671.658,266198371
2020-03-06,8395.948,8571.881,8319.904,8530.337,306258463
2020-03-09,7912.145,8241.77,7912.145,7948.027,380829350
2020-03-10,8213.965,8376.438,7942.133,8372.266,336400322
2020-03-11,8166.266,8224.73,7900.988,8006.119,316463356
2020-03-12,7452.758,7808.313,7255.613,7263.653,455503769
2020-03-13,7683.043,7998.509,7301.876,7995.263,423950797
2020-03-16,7502.262,7563.445,6993.605,7020.377,442166129
2020-03-17,7198.527,7550.133,6959.152,7473.95,415394089
2020-03-18,7023.863,7336.879,6837.531,7175.176,430928942
2020-03-19,7190.207,7514.137,7037.473,7288.523,374780045
2020-03-20,7391.215,7487.833,6969.766,6994.291,493713660
2020-03-23,6952.715,7145.289,6771.914,7006.917,362245908
2020-03-24,7348.996,7555.91,7304.391,7553.825,395910114
2020-03-25,7543.961,7777.613,7390.414,7469.615,368737168
2020-03-26,7549.836,7913.109,7549.836,7897.128,327130462
2020-03-27,7657.441,7817.742,7580.219,7588.373,262706559
2020-03-30,7678.832,7902.086,7651.43,7889.006,248113086
2020-03-31,7855.738,8011.598,7765.453,7813.499,315682471
