Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-07-01,2971.41,2977.93,2952.22,2964.33,527362600
2019-07-02,2964.66,2973.21,2955.92,2973.01,434838341
2019-07-03,2978.08,2995.84,2977.96,2995.82,326856578
2019-07-05,2984.25,2994.03,2967.97,2990.41,357588829
2019-07-08,2979.77,2980.76,2970.09,2975.95,439398597
2019-07-09,2965.52,2981.9,2963.44,2979.63,430659676
2019-07-10,2989.3,3002.98,2984.62,2993.07,428395107
2019-07-11,2999.62,3002.33,2988.8,2999.91,433609504
2019-07-12,3003.36,3013.92,3001.87,3013.77,422619276
2019-07-15,3017.8,3017.8,3008.77,3014.3,443283504
2019-07-16,3012.13,3015.02,3001.15,3004.04,429795268
2019-07-17,3005.1,3005.26,2984.25,2984.42,450359991
2019-07-18,2978.87,2998.28,2973.09,2995.11,462670449
2019-07-19,3004.26,3006.02,2975.86,2976.61,542235630
2019-07-22,2981.93,2990.71,2976.65,2985.03,454754463
2019-07-23,2994.74,3005.9,2988.56,3005.47,442632985
2019-07-24,2998.77,3019.59,2996.82,3019.56,511237434
2019-07-25,3016.26,3016.31,2997.24,3003.67,535005428
2019-07-26,3013.25,3027.98,3012.59,3025.86,467251910
2019-07-29,3024.47,3025.61,3014.3,3020.97,439791578
2019-07-30,3007.66,3017.19,3000.94,3013.18,445105355
2019-07-31,3016.22,3017.4,2958.08,2980.38,818335560
2019-08-01,2980.32,3013.59,2945.23,2953.56,675595461
2019-08-02,2943.9,2945.5,2914.11,2932.05,580375737
2019-08-05,2898.07,2898.07,2822.12,2844.74,766359274
2019-08-06,2861.18,2884.4,2847.42,2881.77,588942375
2019-08-07,2858.65,2892.17,2825.71,2883.98,633122957
2019-08-08,2896.21,2938.72,2894.47,2938.09,653657391
2019-08-09,2930.51,2935.75,2900.15,2918.65,500491414
2019-08-12,2907.07,2907.58,2873.14,2883.75,391569343
2019-08-13,2880.72,2943.31,2877.05,2926.32,563420961
2019-08-14,2894.15,2894.15,2839.64,2840.6,692631694
2019-08-15,2846.2,2856.67,2825.51,2847.6,585071376
2019-08-16,2864.74,2893.63,2864.74,2888.68,591597576
2019-08-19,2913.48,2931,2913.48,2923.65,497584853
2019-08-20,2919.01,2923.63,2899.6,2900.51,451459948
2019-08-21,2922.04,2928.73,2917.91,2924.43,399340157
2019-08-22,2930.94,2939.08,2904.51,2922.95,430434567
2019-08-23,2911.07,2927.01,2834.97,2847.11,700619550
2019-08-26,2866.7,2879.27,2856,2878.38,463912564
2019-08-27,2893.14,2898.79,2860.59,2869.16,558676392
2019-08-28,2861.28,2890.03,2853.05,2887.94,442743559
2019-08-29,2910.37,2930.5,2905.67,2924.58,421202599
2019-08-30,2937.09,2940.43,2913.32,2926.46,532980531
2019-09-03,2909.01,2914.39,2891.85,2906.27,489524393
2019-09-04,2924.67,2938.84,2921.86,2937.78,449778606
2019-09-05,2960.6,2985.86,2960.6,2976,535529513
2019-09-06,2980.33,2985.03,2972.51,2978.71,445306999
2019-09-09,2988.43,2989.43,2969.39,2978.43,537167489
2019-09-10,2971.01,2979.39,2957.01,2979.39,575489940
2019-09-11,2981.41,3000.93,2975.31,3000.93,523074343
2019-09-12,3009.08,3020.74,3000.92,3009.57,556338228
2019-09-13,3012.21,3017.33,3002.9,3007.39,491998481
2019-09-16,2996.41,3002.19,2990.67,2997.96,503095882
2019-09-17,2995.67,3006.21,2993.73,3005.7,478756144
2019-09-18,3001.5,3007.83,2978.57,3006.73,506970627
2019-09-19,3010.36,3021.99,3003.16,3006.79,466918496
2019-09-20,3008.42,3016.37,2984.68,2992.07,1610555637
2019-09-23,2983.5,2999.15,2982.23,2991.78,475428043
2019-09-24,3002.43,3007.98,2957.73,2966.6,599469001
2019-09-25,2968.35,2989.82,2952.86,2984.87,510070023
2019-09-26,2985.73,2987.28,2963.71,2977.62,452508818
2019-09-27,2985.47,2987.31,2945.53,2961.79,477747416
2019-09-30,2967.07,2983.85,2967.07,2976.74,496904390
2019-10-01,2983.69,2992.53,2938.7,2940.25,487737183
2019-10-02,2924.78,2924.78,2874.93,2887.61,605438170
2019-10-03,2885.38,2911.13,2855.94,2910.63,490037007
2019-10-04,2918.56,2953.74,2918.56,2952.01,450077902
2019-10-07,2944.23,2959.75,2935.68,2938.79,464173131
2019-10-08,2920.4,2925.47,2892.66,2893.06,486681493
2019-10-09,2911.1,2929.32,2907.41,2919.4,392191350
2019-10-10,2918.55,2948.46,2917.12,2938.13,449257556
2019-10-11,2963.07,2993.28,2963.07,2970.27,543535029
2019-10-14,2965.81,2972.84,2962.94,2966.15,385116809
2019-10-15,2973.61,3003.28,2973.61,2995.68,424302970
2019-10-16,2989.68,2997.54,2985.2,2989.69,474187297
2019-10-17,3000.77,3008.29,2991.79,2997.95,424674621
2019-10-18,2996.84,3000,2976.31,2986.2,629007999
2019-10-21,2996.48,3007.33,2995.35,3006.72,488376210
2019-10-22,3010.73,3014.57,2995.04,2995.99,456454506
2019-10-23,2994.01,3004.78,2991.21,3004.52,468175599
2019-10-24,3014.78,3016.07,3000.42,3010.29,487778413
2019-10-25,3003.32,3027.39,3001.94,3022.55,464691325
2019-10-28,3032.12,3044.08,3032.12,3039.42,463026111
2019-10-29,3035.39,3047.87,3034.81,3036.89,451403455
2019-10-30,3039.74,3050.1,3025.96,3046.77,486270335
2019-10-31,3046.9,3046.9,3023.19,3037.56,673060009
2019-11-01,3050.72,3066.95,3050.72,3066.91,510301237
2019-11-04,3078.96,3085.2,3074.87,3078.27,524848878
2019-11-05,3080.8,3083.95,3072.15,3074.62,585634570
2019-11-06,3075.1,3078.34,3065.89,3076.78,544288522
2019-11-07,3087.02,3097.77,3080.23,3085.18,566117910
2019-11-08,3081.25,3093.09,3073.58,3093.08,460757054
2019-11-11,3080.33,3088.33,3075.82,3087.01,366044400
2019-11-12,3089.28,3102.61,3084.73,3091.84,434953689
2019-11-13,3084.18,3098.06,3078.8,3094.04,454607412
2019-11-14,3090.75,3098.2,3083.26,3096.63,408390424
2019-11-15,3107.92,3120.46,3104.6,3120.46,579104868
2019-11-18,3117.91,3124.17,3112.06,3122.03,521730492
2019-11-19,3127.45,3127.64,3113.47,3120.18,513153035
2019-11-20,3114.66,3118.97,3091.41,3108.46,756408988
2019-11-21,3108.49,3110.11,3094.55,3103.54,476836171
2019-11-22,3111.41,3112.87,3099.26,3110.29,418027927
2019-11-25,3117.44,3133.83,3117.44,3133.64,513728761
